城市,日期,新房成交套数,新房成交面积,二手房成交套数,二手房成交面积,新房成交面积同比,二手房成交面积同比,来源
北京,2026-05-05,120,1.8,850,7.6,5.2,8.1,示例成交数据
上海,2026-05-05,150,2.1,920,8.4,6.1,7.5,示例成交数据
深圳,2026-05-05,95,1.1,610,5.3,4.4,5.6,示例成交数据
广州,2026-05-05,110,1.4,700,6.2,-1.5,2.1,示例成交数据
杭州,2026-05-05,135,1.9,760,6.8,7.2,4.8,示例成交数据
成都,2026-05-05,160,2.4,980,9.1,3.5,6.3,示例成交数据
西安,2026-05-05,88,1.2,430,3.7,-2.8,-1.6,示例成交数据
武汉,2026-05-05,102,1.5,520,4.6,-3.5,-2.3,示例成交数据
天津,2026-05-05,76,1.0,390,3.1,-4.2,-3.5,示例成交数据
重庆,2026-05-05,98,1.6,470,4.2,-5.1,-4.1,示例成交数据
